timestamp,percent,state,seconds_left,,,
2025-08-31 13:44,93,Discharging,No,4294967295,9770,
2025-08-31 13:44,93,Discharging,No,4294967295,19539,
2025-08-31 13:45,93,Discharging,No,4294967295,19539,
2025-08-31 13:45,93,Discharging,No,4294967295,19538,
2025-08-31 13:46,92,Discharging,No,4294967295,9664,
2025-08-31 13:46,92,Discharging,No,4294967295,9664,
2025-08-31 13:47,92,Discharging,No,4294967295,19329,
2025-08-31 13:47,91,Discharging,No,4294967295,9560,
2025-08-31 13:48,91,Discharging,No,4294967295,9559,
2025-08-31 13:48,91,Discharging,No,4294967295,9561,
2025-08-31 13:49,90,Discharging,No,4294967295,6304,
2025-08-31 13:49,90,Discharging,No,4294967295,9455,
2025-08-31 13:50,90,Discharging,No,4294967295,9455,
2025-08-31 13:50,89,Discharging,No,4294967295,6234,
2025-08-31 13:51,89,Discharging,No,4294967295,9352,
2025-08-31 13:51,89,Discharging,No,4294967295,9352,
2025-08-31 13:52,89,Discharging,No,4294967295,9350,
2025-08-31 13:52,88,Discharging,No,4294967295,9245,
2025-08-31 13:53,88,Discharging,No,4294967295,9245,
2025-08-31 13:53,88,Discharging,No,4294967295,9245,
2025-08-31 13:54,88,Discharging,No,4294967295,18487,
2025-08-31 13:54,87,Discharging,No,4294967295,9138,
2025-08-31 13:55,87,Discharging,No,4294967295,9139,
2025-08-31 13:55,87,Discharging,No,4294967295,9139,
2025-08-31 13:56,87,Discharging,No,4294967295,18279,
2025-08-31 13:56,86,Discharging,No,4294967295,9035,
2025-08-31 13:57,86,Discharging,No,4294967295,9035,
2025-08-31 13:57,86,Discharging,No,4294967295,9035,
2025-08-31 13:58,86,Discharging,No,4294967295,18071,
2025-08-31 13:58,86,Discharging,No,4294967295,18070,
2025-08-31 13:59,85,Discharging,No,4294967295,8935,
2025-08-31 13:59,85,Discharging,No,4294967295,8934,
2025-08-31 14:00,85,Discharging,No,4294967295,17868,
2025-08-31 14:00,85,Discharging,No,4294967295,17868,
2025-08-31 14:01,84,Discharging,No,4294967295,8828,
2025-08-31 14:01,84,Discharging,No,4294967295,8828,
2025-08-31 14:02,84,Discharging,No,4294967295,8829,
2025-08-31 14:02,83,Discharging,No,4294967295,8719,
2025-08-31 14:03,83,Discharging,No,4294967295,8718,
2025-08-31 14:03,83,Discharging,No,4294967295,8718,
2025-08-31 14:04,83,Discharging,No,4294967295,8718,
2025-08-31 14:04,82,Discharging,No,4294967295,8613,
2025-08-31 14:05,82,Discharging,No,4294967295,8613,
2025-08-31 14:05,82,Discharging,No,4294967295,8614,
2025-08-31 14:06,81,Discharging,No,4294967295,8509,
2025-08-31 14:06,81,Discharging,No,4294967295,8509,
2025-08-31 14:07,81,Discharging,No,4294967295,8510,
2025-08-31 14:07,80,Discharging,No,4294967295,5605,
2025-08-31 14:08,80,Discharging,No,4294967295,8407,
2025-08-31 14:08,80,Discharging,No,4294967295,8407,
2025-08-31 14:09,79,Discharging,No,4294967295,5534,
2025-08-31 14:09,79,Discharging,No,4294967295,8300,
2025-08-31 14:10,79,Discharging,No,4294967295,8301,
2025-08-31 14:10,78,Discharging,No,4294967295,5464,
2025-08-31 14:11,78,Discharging,No,4294967295,8193,
2025-08-31 14:11,78,Discharging,No,4294967295,8193,
2025-08-31 14:12,78,Discharging,No,4294967295,8193,
2025-08-31 14:12,78,Discharging,No,4294967295,16387,
2025-08-31 14:13,77,Discharging,No,4294967295,8089,
2025-08-31 14:13,77,Discharging,No,4294967295,8088,
2025-08-31 14:14,77,Discharging,No,4294967295,16178,
2025-08-31 14:14,76,Discharging,No,4294967295,7984,
2025-08-31 14:15,76,Discharging,No,4294967295,7985,
2025-08-31 14:15,76,Discharging,No,4294967295,7985,
2025-08-31 14:16,76,Discharging,No,4294967295,7985,
2025-08-31 14:16,75,Discharging,No,4294967295,7879,
2025-08-31 14:17,75,Discharging,No,4294967295,7879,
2025-08-31 14:17,75,Discharging,No,4294967295,7879,
2025-08-31 14:18,75,Discharging,No,4294967295,15757,
2025-08-31 14:18,74,Discharging,No,4294967295,7773,
2025-08-31 14:19,74,Discharging,No,4294967295,7773,
2025-08-31 14:19,73,Discharging,No,4294967295,5112,
2025-08-31 14:20,73,Discharging,No,4294967295,7670,
2025-08-31 14:20,73,Discharging,No,4294967295,7671,
2025-08-31 14:21,73,Discharging,No,4294967295,7672,
2025-08-31 14:21,72,Discharging,No,4294967295,5045,
2025-08-31 14:22,72,Discharging,No,4294967295,7567,
2025-08-31 14:22,72,Discharging,No,4294967295,7568,
2025-08-31 14:23,71,Discharging,No,4294967295,7463,
2025-08-31 14:23,71,Discharging,No,4294967295,7461,
2025-08-31 14:24,71,Discharging,No,4294967295,7460,
2025-08-31 14:24,70,Discharging,No,4294967295,4903,
2025-08-31 14:25,70,Discharging,No,4294967295,7353,
2025-08-31 14:25,70,Discharging,No,4294967295,7353,
2025-08-31 14:26,70,Discharging,No,4294967295,7352,
2025-08-31 14:26,69,Discharging,No,4294967295,7247,
2025-08-31 14:27,69,Discharging,No,4294967295,7247,
2025-08-31 14:27,68,Discharging,No,4294967295,4761,
2025-08-31 14:28,68,Discharging,No,4294967295,7142,
2025-08-31 14:28,68,Discharging,No,4294967295,7143,
2025-08-31 14:29,67,Discharging,No,4294967295,4692,
2025-08-31 14:29,67,Discharging,No,4294967295,4692,
2025-08-31 14:30,67,Discharging,No,4294967295,7038,
2025-08-31 14:30,67,Discharging,No,4294967295,7038,
2025-08-31 14:31,67,Discharging,No,4294967295,14077,
2025-08-31 14:31,66,Discharging,No,4294967295,6933,
2025-08-31 14:32,66,Discharging,No,4294967295,6933,
2025-08-31 14:32,66,Discharging,No,4294967295,13867,
2025-08-31 14:33,65,Discharging,No,4294967295,6828,
2025-08-31 14:33,65,Discharging,No,4294967295,6828,
2025-08-31 14:34,65,Discharging,No,4294967295,6828,
2025-08-31 14:34,65,Discharging,No,4294967295,6827,
2025-08-31 14:35,65,Discharging,No,4294967295,13656,
2025-08-31 14:35,64,Discharging,No,4294967295,6723,
2025-08-31 14:36,64,Discharging,No,4294967295,6722,
2025-08-31 14:36,64,Discharging,No,4294967295,13445,
2025-08-31 14:37,64,Discharging,No,4294967295,13445,
2025-08-31 14:37,63,Discharging,No,4294967295,6617,
2025-08-31 14:38,63,Discharging,No,4294967295,6617,
2025-08-31 14:38,63,Discharging,No,4294967295,6617,
2025-08-31 14:39,63,Discharging,No,4294967295,13234,
2025-08-31 14:39,62,Discharging,No,4294967295,6512,
2025-08-31 14:40,62,Discharging,No,4294967295,6512,
2025-08-31 14:41,62,Discharging,No,4294967295,6512,
2025-08-31 14:41,62,Discharging,No,4294967295,13025,
2025-08-31 14:42,62,Discharging,No,4294967295,13025,
2025-08-31 14:42,62,Discharging,No,4294967295,13025,
2025-08-31 14:43,61,Discharging,No,4294967295,6407,
2025-08-31 14:43,61,Discharging,No,4294967295,12815,
2025-08-31 14:44,60,Discharging,No,4294967295,6302,
2025-08-31 14:44,60,Discharging,No,4294967295,6303,
2025-08-31 14:45,60,Discharging,No,4294967295,6302,
2025-08-31 14:45,60,Discharging,No,4294967295,6302,
2025-08-31 14:46,60,Discharging,No,4294967295,6303,
